Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06,ID,name_x,natinc19,net_internal_mig19,net_international_mig_19,netmig19,popchange19,natinc20,net_internal_mig20,net_international_mig_20,netmig20,popchange20,natinc21,net_internal_mig21,net_international_mig_21,netmig21,popchange21,yearofbirth,sex,age,percentile,lx,llx,dx,px,qx,mx,sx,ex,name_y,erp18,erp19,erp20,erp21,avann1820num,avann1820per,chg2021num,chg2021per
2021,Level 1,99999,All industries,Dollars (millions),H01,Total income,Financial performance,"757,504","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",1,Far North district,230,640.0,410.0,1000,1300,220,770.0,1100.0,1800,2100,180,850.0,290.0,1100,1300,1876,female,0,5,100000,92431,12731,0.8727,0.1273,0.1377,0.9295,54.0,Far North district,67900,69200,71300,72600,1700,2.4,1300,1.9
2021,Level 1,99999,All industries,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,"674,890","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",2,Whangārei district,300,690.0,440.0,1100,1400,330,620.0,1200.0,1800,2200,420,840.0,360.0,1200,1600,1876,female,0,95,100000,92431,12731,0.8727,0.1273,0.1377,0.9295,54.0,Whangārei district,94100,95600,97700,99400,1800,1.9,1600,1.7
2021,Level 1,99999,All industries,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,"49,593","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",3,Kaipara district,70,440.0,70.0,510,580,130,600.0,280.0,880,1000,60,510.0,100.0,610,670,1876,female,0,median,100000,92431,12731,0.8727,0.1273,0.1377,0.9295,54.0,Kaipara district,23700,24300,25300,26000,790,3.3,670,2.6
2021,Level 1,99999,All industries,Dollars (millions),H07,Non-operating income,Financial performance,"33,020","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",4,Auckland,12800,-11400.0,25000.0,13600,26500,12900,-11100.0,33800.0,22600,35600,12900,-13500.0,-670.0,-14200,-1300,1876,female,1,5,87269,85916,2705,0.969,0.031,0.0315,0.9772,60.9,Auckland,1654800,1681300,1716900,1715600,31000,1.9,-1280,-0.1
2021,Level 1,99999,All industries,Dollars (millions),H08,Total expenditure,Financial performance,"654,404","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",5,Rodney local board area,400,1200.0,520.0,1700,2100,450,1700.0,1100.0,2800,3200,490,1600.0,170.0,1700,2200,1876,female,1,95,87269,85916,2705,0.969,0.031,0.0315,0.9772,60.9,Rodney local board area,69100,71200,74400,76700,2700,3.8,2200,3.0
2021,Level 1,99999,All industries,Dollars (millions),H09,Interest and donations,Financial performance,"26,138","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",6,Hibiscus and Bays local board area,500,-50.0,2000.0,2000,2500,490,-220.0,2400.0,2200,2600,450,270.0,180.0,450,900,1876,female,1,median,87269,85916,2705,0.969,0.031,0.0315,0.9772,60.9,Hibiscus and Bays local board area,108500,110900,113600,114500,2600,2.3,900,0.8
2021,Level 1,99999,All industries,Dollars (millions),H10,Indirect taxes,Financial performance,"6,991","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",7,Upper Harbour local board area,390,120.0,1300.0,1400,1800,460,410.0,1200.0,1600,2100,430,370.0,-250.0,110,550,1876,female,2,5,84564,83957,1214,0.9856,0.0144,0.0145,0.9876,61.8,Upper Harbour local board area,66800,68700,70800,71300,2000,2.9,550,0.8
2021,Level 1,99999,All industries,Dollars (millions),H11,Depreciation,Financial performance,"27,801","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",8,Kaipātiki local board area,810,-1800.0,1500.0,-390,420,840,-1800.0,1400.0,-380,460,860,-2100.0,-190.0,-2300,-1400,1876,female,2,95,84564,83957,1214,0.9856,0.0144,0.0145,0.9876,61.8,Kaipātiki local board area,92900,93300,93800,92400,440,0.5,-1410,-1.5
2021,Level 1,99999,All industries,Dollars (millions),H12,Salaries and wages paid,Financial performance,"123,620","ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",9,Devonport-Takapuna local board area,200,-1100.0,960.0,-150,50,250,-1300.0,1500.0,200,450,270,-1300.0,-70.0,-1400,-1100,1876,female,2,median,84564,83957,1214,0.9856,0.0144,0.0145,0.9876,61.8,Devonport-Takapuna local board area,60500,60600,61000,59900,250,0.4,-1130,-1.8
2021,Level 1,99999,All industries,Dollars (millions),H13,Redundancy and severance,Financial performance,275,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",10,Henderson-Massey local board area,1300,-640.0,1300.0,700,2000,1300,-450.0,1600.0,1100,2400,1300,-770.0,-10.0,-780,530,1876,female,3,5,83350,82913,874,0.9895,0.0105,0.0105,0.9904,61.7,Henderson-Massey local board area,124600,126600,129100,129600,2200,1.8,530,0.4
